"PC1","PC2","name","gender","decade"
2.94976029952344,1.82681753285381,"Kingston","male","1860s"
2.43087764429237,2.1225720137821,"Kai","male","1860s"
2.28676295120379,-1.06145122966095,"Bennett","male","1860s"
4.02498115633968,2.44443914980485,"Abel","male","1860s"
4.5553673569601,3.47137272605742,"Luca","male","1860s"
4.66755784904252,3.57693325302017,"Maverick","male","1860s"
2.18213478326587,-0.663592121831523,"Tucker","male","1860s"
1.98461776637288,0.8574415873817,"Avery","androgynous","1860s"
-25.7226018881151,-30.7993637787203,"King","male","1860s"
0.667090685684465,-2.67179736888135,"Graham","male","1860s"
4.68592101704205,3.61060945207334,"Maximus","male","1860s"
0.753858103703087,-1.29747809601875,"Harper","female","1860s"
4.65940385910223,3.56216001102466,"Scarlett","female","1860s"
2.67020297125929,2.62678861116418,"Aria","female","1860s"
4.65602418600867,3.58546459338496,"Penelope","female","1860s"
3.9079725887738,3.03299951440455,"Bella","female","1860s"
4.51097989255294,3.53323162081921,"Paisley","female","1860s"
2.53500410339955,1.64861632510767,"Piper","female","1860s"
3.31824184996201,2.23065747861948,"Aurora","female","1860s"
4.12721870333258,3.15555653464162,"Luna","female","1860s"
-23.7334263273645,-19.657561564889,"London","female","1860s"
4.60605663281935,3.53653482046351,"Elena","female","1860s"
4.33811592377861,2.6870231311533,"Quinn","female","1860s"
4.51926629296792,3.21271159526803,"Hadley","female","1860s"
1.73785013144988,-0.543484864571965,"Willow","female","1860s"
4.6465109773981,3.53250944114804,"Delilah","female","1860s"
3.06947049374105,2.53562220867455,"Ivy","female","1860s"
4.64057278507752,3.54693821895626,"Emilia","female","1860s"
2.9759650904276,2.48956363038445,"Isla","female","1860s"
3.90409781506507,2.02708881613494,"Reese","female","1860s"
3.09128050932144,1.92344288763638,"Emery","female","1860s"
3.96450057258083,2.81032228372183,"Eden","female","1860s"
4.58025368172641,3.52003916955541,"Elise","female","1860s"
4.64945645541266,3.55271271529505,"Norah","female","1860s"
4.46057277110984,3.27872783031382,"Athena","female","1860s"
1.61064155884795,3.58911694648004,"Harmony","female","1860s"
4.37991519733282,2.89458295977446,"Hayden","androgynous","1860s"
-155.486081420145,-287.574713458781,"John","male","1870s"
-42.9070711442438,-85.4536711956698,"William","male","1870s"
-51.4919985766946,-107.080431368023,"James","male","1870s"
-31.8280550822958,-61.0010292199993,"George","male","1870s"
-35.8195817113884,-64.3888890359555,"Charles","male","1870s"
-17.0698410352766,-28.5549749686267,"Frank","male","1870s"
-22.3427518611373,-45.8787325392854,"Joseph","male","1870s"
-35.4631971669657,-70.8310075070521,"Henry","male","1870s"
-9.77697263969029,-24.0132282122407,"Robert","male","1870s"
-33.0636588866752,-68.7903021235075,"Thomas","male","1870s"
-7.35424675076192,-19.7874142032094,"Edward","male","1870s"
-1.96027422275207,-4.07567458066361,"Harry","male","1870s"
-0.682058282970458,-5.50457634789812,"Walter","male","1870s"
-0.0171489574066963,-3.79309946997302,"Arthur","male","1870s"
-1.11519093996824,-4.06871555827673,"Fred","male","1870s"
-1.81191993759384,-7.01583714164862,"Albert","male","1870s"
-9.4411306755269,-25.9667694602463,"Samuel","male","1870s"
3.87721017640336,2.86563281294458,"Clarence","male","1870s"
-44.5055180775779,-50.1409670869644,"Louis","male","1870s"
-8.54753696828671,-20.9956671672137,"David","male","1870s"
-2.88652366166716,-3.74236893117448,"Joe","male","1870s"
3.02881509552208,2.35138813422235,"Charlie","male","1870s"
-2.74880014074455,-11.2521482956622,"Richard","male","1870s"
4.15193032154755,2.76207835083257,"Ernest","male","1870s"
3.06535458913143,2.20602903648348,"Roy","male","1870s"
-1460.72322422164,103.999574249189,"Will","male","1870s"
-2.47687404137761,-10.9588502176569,"Andrew","male","1870s"
2.59256469751624,-0.676041156182506,"Jesse","male","1870s"
